,sample,sample_2,uncorrected_dist,rep,b_s1,b_s2,b_mean,n_s1,n_s2,N_mean,subsample_mean_dist,no_strapped_dist,corrected_dist,corrected_dist_cons
88,ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425997_2,0.1996138185334723,83,403014,374097,388555.5,1690960,1556700,1623830.0,0.1898639158380233,0.18833035407,0.193099674826,0.194633236594
89,ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425997_2,0.1963231838689871,83,384397,374097,379247.0,1604392,1556700,1580546.0,0.19098720086789642,0.188214453799,0.190828251336,0.193600998405
90,ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425997_2,0.0,83,374097,374097,374097.0,1556700,1556700,1556700.0,0.0,0.0,0.0,0.0
91,ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425997_2,0.150874199561512,83,404199,374097,389148.0,1696485,1556700,1626592.5,0.1459765687883566,0.140542661469,0.142938204959,0.148372112278
92,ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425997_2,0.1965023140279616,83,409809,374097,391953.0,1722668,1556700,1639684.0,0.1898674994090403,0.189118714736,0.192362601681,0.193111386354
93,ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425997_2,0.1376267425751545,83,355279,374097,364688.0,1469941,1556700,1513320.5,0.13778857937924863,0.133573059996,0.133493613898,0.137709133281
94,ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425997_2,0.1546232777189353,83,393098,374097,383597.5,1644797,1556700,1600748.5,0.15193939317218141,0.147394518061,0.148708351049,0.15325322616
95,ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425997_2,0.1915200572055427,83,414002,374097,394049.5,1742262,1556700,1649481.0,0.18705656853470998,0.182973386483,0.185154991725,0.189238173777
96,ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425997_2,0.1897256664925612,83,416113,374097,395105.0,1752136,1556700,1654418.0,0.18808902198702193,0.188910918074,0.189710730222,0.188888834135
97,ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425997_2,0.1966343766297187,83,409901,374097,391999.0,1723097,1556700,1639898.5,0.19344991791984983,0.191627199897,0.193184131798,0.195006849821
